Year,Total Graduate Enrollment,"First-Time, Full-Time Enrollment"
1985,36720,8114
1986,37807,8126
1987,38573,8307
1988,40127,8495
1989,41677,8845
1990,42932,9063
1991,44799,9388
1992,47068,9650
1993,48766,9727
1994,50182,9941
1995,50797,10056
1996,50305,9387
1997,49739,9822
1998,50045,10206
1999,50923,9936
2000,50754,10370
2001,52644,10863
2002,56582,11552
2003,60895,12398
2004,63240,12087
2005,65299,12234
2006,67059,12539
2007,68623,12798
2008,69530,13464
2009,70117,14222
2010,71407,14740
2011,72917,15210
2012,73864,15640
2013,73962,15034
2014,73769,15006
2015,75115,16083
2016,74593,16759
2017,75744,16943
