Year,USD,Dollars,Certainty
2013,1289.0,Nominal,record
2013,1484.0859724662587,2019,record
2014,1373.0,Nominal,record
2014,1543.2772392941026,2019,record
2015,1427.0,Nominal,record
2015,1591.405029437508,2019,record
2016,1504.0,Nominal,record
2016,1644.7800225948913,2019,record
2017,1598.0,Nominal,record
2017,1692.133875075028,2019,record
2017,1598.0,Nominal,conservative estimate
2017,1598.0,Nominal,conservative estimate
2017,1598.0,Nominal,conservative estimate
2017,1692.133875075028,2019,conservative estimate
2017,1692.133875075028,2019,conservative estimate
2017,1692.133875075028,2019,conservative estimate
2018,1646.0,Nominal,conservative estimate
2018,1661.0,Nominal,conservative estimate
2018,1678.0,Nominal,conservative estimate
2018,1691.7978805554403,2019,conservative estimate
2018,1707.2152366965897,2019,conservative estimate
2018,1724.6882403232255,2019,conservative estimate
2019,1695.0,Nominal,conservative estimate
2019,1727.0,Nominal,conservative estimate
2019,1762.0,Nominal,conservative estimate
2019,1695.0,2019,conservative estimate
2019,1727.0,2019,conservative estimate
2019,1762.0,2019,conservative estimate
